,vehicle_id,name,location,origin_zone,days_between_charges,charging_demand,arrival_time,departure_time,idling_duration,charging_power,strategy
224,535,BEV,work,3_4,1.0,3.2346005158546145,8.122204471516186,17.38077120474309,9.258566733226905,11.0,dumb
225,538,BEV,work,2_4,4.215268959881912,13.634669942861521,9.235114985300699,19.029773229520494,9.794658244219795,7.4,dumb
226,539,BEV,work,4_4,6.026079818004861,19.532426654954673,10.588087067758961,15.925807200039689,5.337720132280728,11.0,dumb
227,542,PHEV,work,2_4,1.548943545296093,7.092855804315703,8.338780875108627,18.807781624274288,10.46900074916566,7.4,dumb
228,543,BEV,work,3_4,1.0,4.5791695671440555,9.431782434562743,13.777294099580104,4.34551166501736,7.4,dumb
229,545,BEV,work,3_4,13.872658500442917,44.87250834180756,7.7561624172486425,17.384321059312292,9.62815864206365,7.4,dumb
230,546,BEV,work,1_4,4.8152837529043335,34.88563061152404,9.642198520320138,16.935159401947274,7.2929608816271365,7.4,dumb
231,547,BEV,work,2_2,5.136136071143921,16.61329817292677,9.347856704181702,16.115647703240455,6.767790999058754,7.4,dumb
232,552,PHEV,work,2_4,1.0,4.579141887231095,7.327912770615085,18.177555911570476,10.84964314095539,7.4,dumb
233,553,BEV,work,2_4,1.0,3.234590739672158,10.647868075774198,15.274731997879698,4.6268639221055,7.4,dumb
234,556,PHEV,work,2_4,1.0,7.2357557893452125,8.110924360349607,18.40619817560121,10.295273815251605,11.0,dumb
235,562,PHEV,work,1_4,1.231622161526166,5.639772629097483,10.315132243652164,15.766150149130198,5.451017905478034,11.0,dumb
236,564,BEV,work,1_5,1.0,10.247789787782656,8.135629534530572,19.26191816716348,11.126288632632907,7.4,dumb
237,568,PHEV,work,4_4,1.0,7.244793420154751,10.15866046638102,16.258076116595568,6.099415650214548,7.4,dumb
238,570,BEV,work,1_5,1.0,4.579141887401583,9.518662540427137,15.965243150654945,6.446580610227809,11.0,dumb
239,571,BEV,work,1_4,3.311812362796964,15.165258713162709,9.694817364690142,18.19010179560531,8.49528443091517,11.0,dumb
240,577,PHEV,work,3_4,1.5590220013520393,7.139006637723742,9.110263389390065,17.47341003177258,8.363146642382516,11.0,dumb
241,579,PHEV,work,4_4,1.1763430371178458,5.386674236085466,10.233348902703625,18.707103764468375,8.47375486176475,11.0,dumb
242,580,BEV,work,3_1,1.0,4.579157081293993,7.98133375935828,18.708539134814153,10.727205375455874,7.4,dumb
243,581,BEV,work,2_5,4.038043016438608,18.490833274661366,10.699398951514766,17.454550405667288,6.7551514541525215,7.4,dumb
244,582,PHEV,work,1_2,1.015937888079815,3.286131408934324,8.317852613039348,17.380438367132772,9.062585754093424,11.0,dumb
245,586,BEV,work,1_3,7.1355284370182614,23.080430794362456,9.91756193549975,19.981702062808743,10.064140127308994,7.4,dumb
246,587,BEV,work,2_5,3.8081851559190016,12.317920440659098,9.880931750529829,18.653103568825802,8.772171818295973,7.4,dumb
247,591,BEV,work,2_3,4.264234320807978,13.793052845877678,9.425525844076622,20.211359933059533,10.785834088982911,11.0,dumb
248,592,PHEV,work,3_5,1.6180516831389198,7.409333025615435,8.853691368027114,18.012748303045214,9.1590569350181,11.0,dumb
249,593,PHEV,work,2_2,1.0,7.2357557893735045,10.229850987099397,17.00895440785514,6.779103420755742,7.4,dumb
250,594,BEV,work,2_3,1.0,4.579141887069578,7.419898312990971,21.3146134119173,13.89471509892633,11.0,dumb
251,595,BEV,work,1_5,2.2857072102799365,20.933189987132526,9.193488281645145,17.92440672377225,8.730918442127106,7.4,dumb
252,596,BEV,work,1_2,1.4482490890448267,6.631738066555525,8.952515300481698,17.236725092466656,8.284209791984958,7.4,dumb
253,597,BEV,work,3_0,3.243972343431719,23.47266954910907,11.145089671621374,17.238724830824452,6.093635159203078,11.0,dumb
254,598,BEV,work,2_3,1.2820803235290748,4.155615650745993,8.971262847540414,17.85010056387973,8.878837716339318,7.4,dumb
